OTU	MQ210406-101	MQ210406-102	MQ210406-103	MQ210406-104	MQ210406-105	MQ210406-106	MQ210406-107	MQ210406-113	MQ210406-116	MQ210406-119	MQ210406-12	MQ210406-137	MQ210406-13	MQ210406-140	MQ210406-159	MQ210406-160	MQ210406-19	MQ210406-1	MQ210406-20	MQ210406-21	MQ210406-22	MQ210406-23	MQ210406-24	MQ210406-31	MQ210406-32	MQ210406-33	MQ210406-34	MQ210406-35	MQ210406-36	MQ210406-37	MQ210406-38	MQ210406-39	MQ210406-40	MQ210406-41	MQ210406-48	MQ210406-49	MQ210406-50	MQ210406-51	MQ210406-52	MQ210406-53	MQ210406-54	MQ210406-55	MQ210406-56	MQ210406-57	MQ210406-58	MQ210406-59	MQ210406-60	MQ210406-61	MQ210406-62	MQ210406-63	MQ210406-66	MQ210406-67	MQ210406-68	MQ210406-69	MQ210406-75	MQ210406-78	MQ210406-81	MQ210406-82	MQ210406-83	MQ210406-84	MQ210406-86	MQ210406-87	MQ210406-89	MQ210406-90	MQ210406-91	MQ210406-92	MQ210406-93	MQ210406-94	MQ210406-9	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu41	7	11	0	0	10	0	26	0	0	0	0	0	13	0	0	0	0	0	3	0	0	0	0	0	0	3	0	38	14	44	0	12	19	2	2	0	3	9	119	0	0	75	0	0	0	0	0	0	10	3	0	130	12	0	0	0	8	0	0	27	0	0	53	0	0	0	0	0	51	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__
Zotu42	23	0	7	3	12	0	0	0	0	0	2	0	19	0	0	0	0	5	27	2	0	10	8	20	0	14	3	0	0	36	0	9	13	0	0	3	0	0	0	28	0	0	13	4	3	3	11	6	45	12	25	20	17	19	0	0	15	13	11	16	14	34	17	5	11	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu43	29	11	25	22	5	2	8	0	1	0	16	0	5	0	0	0	0	26	8	33	0	30	19	12	2	11	4	3	18	5	28	4	0	1	6	25	1	11	6	91	6	5	21	16	7	11	13	14	9	33	14	13	17	8	0	0	33	10	15	7	23	25	31	22	21	0	0	0	8	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu44	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu45	1	9	0	0	5	2	26	0	0	0	0	0	17	0	0	0	0	0	1	0	0	0	0	0	1	1	0	32	17	42	0	9	19	1	2	0	2	9	105	0	0	65	2	0	0	0	0	0	13	1	0	114	4	0	0	0	5	0	0	15	0	0	69	0	0	0	0	0	44	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__
Zotu46	64	0	7	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	4	1	0	0	1	0	0	1	2	2	0	0	0	1	0	0	0	76	0	0	1	1	1	3	8	1	1	45	3	1	3	2	0	0	4	1	5	0	26	16	2	1	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu47	16	0	15	14	0	0	0	0	0	0	1	0	6	0	0	0	0	0	1	1	0	0	12	21	0	0	0	0	0	3	2	3	0	0	0	2	0	0	0	32	0	0	4	0	4	2	11	7	5	23	3	5	8	7	0	0	6	0	10	1	5	19	8	6	4	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu49	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu50	20	9	9	3	5	1	1	0	0	0	8	0	2	0	0	0	0	24	4	19	0	16	8	7	0	4	2	3	9	4	6	2	1	2	0	21	3	6	7	44	5	2	15	7	4	8	6	10	9	23	7	10	9	8	0	0	13	6	3	3	22	9	10	10	12	0	0	0	0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu51	47	0	8	16	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	2	8	9	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	53	0	0	6	0	0	0	5	0	0	36	3	1	2	0	0	0	0	0	1	1	25	16	3	1	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu52	5	9	0	0	8	1	32	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	1	1	1	25	13	58	0	10	12	0	0	0	3	6	120	0	0	70	3	0	0	0	0	0	10	3	1	138	7	0	0	0	1	0	0	24	0	0	61	0	0	0	1	0	39	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__
Zotu53	6	18	0	0	14	1	16	0	0	0	0	0	13	1	0	0	0	0	2	0	0	0	0	0	5	6	0	28	12	46	0	4	16	3	0	0	1	7	110	0	0	71	4	0	2	0	0	0	7	2	0	127	8	0	0	0	6	0	0	22	0	0	79	0	0	0	0	0	29	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__
Zotu54	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
